date,email,call
2012-12-12,332.0,397
2012-12-13,271.0,322
2012-12-14,227.0,290
2012-12-15,135.0,110
2012-12-16,187.0,59
2012-12-17,202.0,325
2012-12-18,227.0,283
2012-12-19,177.0,277
2012-12-20,161.0,192
2012-12-21,114.0,156
2012-12-22,96.0,1
2012-12-23,73.0,2
2012-12-24,80.0,2
2012-12-25,60.0,0
2012-12-26,110.0,106
2012-12-27,105.0,109
2012-12-28,109.0,124
2012-12-29,90.0,3
2012-12-30,91.0,1
2012-12-31,89.0,1
2013-01-01,97.0,3
2013-01-02,168.0,266
2013-01-03,170.0,224
2013-01-04,129.0,203
2013-01-05,111.0,4
2013-01-06,150.0,1
2013-01-07,207.0,324
2013-01-08,216.0,270
2013-01-09,228.0,308
2013-01-10,183.0,284
2013-01-11,195.0,253
2013-01-12,103.0,4
2013-01-13,117.0,2
2013-01-14,177.0,280
2013-01-15,160.0,216
2013-01-16,192.0,260
2013-01-17,159.0,237
2013-01-18,131.0,166
2013-01-19,77.0,4
2013-01-20,110.0,5
2013-01-21,167.0,148
2013-01-22,177.0,231
2013-01-23,187.0,274
2013-01-24,206.0,240
2013-01-25,161.0,229
2013-01-26,154.0,13
2013-01-27,176.0,9
2013-01-28,247.0,387
2013-01-29,253.0,305
2013-01-30,195.0,303
2013-01-31,155.0,259
2013-02-01,147.0,220
2013-02-02,121.0,7
2013-02-03,72.0,3
2013-02-04,157.0,258
2013-02-05,163.0,209
2013-02-06,150.0,254
2013-02-07,179.0,243
2013-02-08,117.0,207
2013-02-09,98.0,4
2013-02-10,115.0,2
2013-02-11,194.0,255
2013-02-12,189.0,252
2013-02-13,172.0,251
2013-02-14,133.0,240
2013-02-15,121.0,199
2013-02-16,106.0,3
2013-02-17,110.0,3
2013-02-18,171.0,224
2013-02-19,193.0,220
2013-02-20,188.0,253
2013-02-21,191.0,214
2013-02-22,133.0,184
2013-02-23,101.0,2
2013-02-24,108.0,4
2013-02-25,207.0,241
2013-02-26,229.0,269
2013-02-27,144.0,215
2013-02-28,137.0,193
2013-03-01,155.0,183
2013-03-02,87.0,3
2013-03-03,110.0,4
2013-03-04,168.0,236
2013-03-05,126.0,186
